"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"RcppProgress","RcppProgress","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"RCurl","RCurl","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.98-1.3",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"rdd","rdd","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.57",NA,"R (>= 2.15.0), sandwich, lmtest, AER, Formula",NA,NA,NA,NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.5"
"readr","readr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4.0",NA,"R (>= 3.1)","cli, clipr, crayon, hms (>= 0.4.1), methods, rlang, R6,
tibble, utils, lifecycle","BH, cpp11","covr, curl, dplyr, knitr, rmarkdown, spelling, stringi,
testthat, xml2",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"readxl","readxl","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"recipes","recipes","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.1.16",NA,"R (>= 3.1), dplyr","ellipsis, generics (>= 0.1.0), glue, gower, ipred, lifecycle,
lubridate, magrittr, Matrix, purrr (>= 0.2.3), rlang (>=
0.4.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>= 1.1.0),
timeDate, utils, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, RANN, RcppRoll, rmarkdown, rpart,
rsample, RSpectra, testthat (>= 2.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rematch","rematch","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"rematch2","rematch2","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"remotes","remotes","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.3.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"repr","repr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.3",NA,"R (>= 3.0.1)","utils, grDevices, htmltools, jsonlite, pillar (>= 1.4.0),
base64enc",NA,"methods, highr, Cairo, stringr, testthat (>= 3.0.0), leaflet","data.table, tibble, htmlwidgets, vegalite, plotly, geojsonio","GPL-3",NA,NA,NA,NA,"no","4.0.3"
"reprex","reprex","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0.0",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"reshape2","reshape2","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"reticulate","reticulate","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.20",NA,"R (>= 3.0)","Matrix, Rcpp (>= 0.12.7), graphics, jsonlite, methods, png,
rappdirs, utils, withr","Rcpp","callr, knitr, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.0.5"
"rhdf5","rhdf5","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.34.0",NA,"R (>= 3.5.0), methods","Rhdf5lib (>= 1.11.0), rhdf5filters","Rhdf5lib","bit64, BiocStyle, knitr, rmarkdown, testthat, microbenchmark,
dplyr, ggplot2",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"rhdf5filters","rhdf5filters","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.1",NA,NA,NA,"Rhdf5lib","BiocStyle, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"Rhdf5lib","Rhdf5lib","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.12.1",NA,"R (>= 3.3.0)",NA,NA,"BiocStyle, knitr, rmarkdown, tinytest",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"rio","rio","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.5.26",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, arrow, clipr,
feather, fst, hexView, jsonlite, pzfx, readODS (>= 1.6.4),
readr, rmarkdown, rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"rlang","rlang","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4.11",NA,"R (>= 3.3.0)","utils",NA,"cli, covr, crayon, glue, magrittr, methods, pak, pillar,
rmarkdown, testthat (>= 3.0.0), vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"rmarkdown","rmarkdown","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.8",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), jsonlite, tinytex (>= 0.31), xfun
(>= 0.21), methods, stringr (>= 1.2.0)",NA,"shiny (>= 1.6.0), tufte, testthat (>= 3.0.0), digest,
dygraphs, vctrs, tibble, fs, rsconnect, withr (>= 2.4.2), bslib
(>= 0.2.4), sass (>= 0.3.1)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"robustbase","robustbase","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.93-7",NA,"R (>= 3.1.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"ROCR","ROCR","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0-11",NA,"R (>= 3.6)","methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"rpart","rpart","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"rprojroot","rprojroot","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0.2",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"RSpectra","RSpectra","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.16-0",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"rstudioapi","rstudioapi","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rsvd","rsvd","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.5",NA,"R (>= 4.0.0)","Matrix",NA,"ggplot2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"Rtsne","Rtsne","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.15",NA,NA,"Rcpp (>= 0.11.0), stats","Rcpp","irlba, testthat",NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.5"
"rvest","rvest","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.0",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"S4Vectors","S4Vectors","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.28.1",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.36.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"sandwich","sandwich","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.0-1",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.5"
"sass","sass","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4.0",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"scales","scales","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"scater","scater","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.18.6",NA,"SingleCellExperiment, ggplot2","stats, utils, methods, grid, gridExtra, Matrix, BiocGenerics,
S4Vectors, SummarizedExperiment, DelayedArray,
DelayedMatrixStats, BiocNeighbors, BiocSingular, BiocParallel,
scuttle, rlang, ggbeeswarm, viridis",NA,"BiocStyle, biomaRt, cowplot, destiny, knitr, scRNAseq,
robustbase, rmarkdown, Rtsne, uwot, NMF, testthat, pheatmap,
Biobase",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"scds","scds","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.6.0",NA,"R (>= 3.6.0)","Matrix, S4Vectors, SingleCellExperiment, SummarizedExperiment,
xgboost, methods, stats, dplyr, pROC",NA,"BiocStyle, knitr, rsvd, Rtsne, scater, cowplot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"scran","scran","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.18.7",NA,"SingleCellExperiment","SummarizedExperiment, S4Vectors, BiocGenerics, BiocParallel,
Rcpp, stats, methods, utils, Matrix, scuttle, edgeR, limma,
BiocNeighbors, igraph, statmod, DelayedArray,
DelayedMatrixStats, BiocSingular, bluster, dqrng, beachmat","Rcpp, beachmat, BH, dqrng, scuttle","testthat, BiocStyle, knitr, rmarkdown, HDF5Array, scRNAseq,
dynamicTreeCut, DESeq2, monocle, Biobase, pheatmap, scater",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"sctransform","sctransform","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.2",NA,"R (>= 3.1.0)","MASS, Matrix, methods, future.apply, future, ggplot2,
reshape2, gridExtra, matrixStats","RcppArmadillo, Rcpp (>= 0.11.0)","irlba, testthat, knitr","glmGamPoi","GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"scuttle","scuttle","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.4",NA,"SingleCellExperiment","methods, utils, stats, Matrix, Rcpp, BiocGenerics, S4Vectors,
BiocParallel, GenomicRanges, SummarizedExperiment,
DelayedArray, DelayedMatrixStats, beachmat","Rcpp, beachmat","BiocStyle, knitr, scRNAseq, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"selectr","selectr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.0.0"
"Seurat","Seurat","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.2.0",NA,"R (>= 3.4.0), methods,","ape, cluster, cowplot, fitdistrplus, future, future.apply,
ggplot2 (>= 3.0.0), ggrepel, ggridges, graphics, grDevices,
grid, httr, ica, igraph, irlba, jsonlite, KernSmooth, leiden
(>= 0.3.1), lmtest, MASS, Matrix (>= 1.2-14), miniUI,
patchwork, pbapply, plotly (>= 4.9.0), png, RANN, RColorBrewer,
Rcpp, RcppAnnoy, reticulate, rlang, ROCR, rsvd, Rtsne, scales,
sctransform (>= 0.2.0), shiny, spatstat, stats, tibble, tools,
utils, uwot (>= 0.1.5)","Rcpp (>= 0.11.0), RcppEigen, RcppProgress","loomR, testthat, hdf5r, S4Vectors, SummarizedExperiment,
SingleCellExperiment, MAST, DESeq2, BiocGenerics,
GenomicRanges, GenomeInfoDb, IRanges, rtracklayer, Rfast2,
monocle, Biobase, VGAM, limma, metap",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"shape","shape","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"shiny","shiny","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.6.0",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest (>= 0.6.25), htmltools (>=
0.5.0.9001), R6 (>= 2.0), sourcetools, later (>= 1.0.0),
promises (>= 1.1.0), tools, crayon, rlang (>= 0.4.9), fastmap
(>= 1.0.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib
(>= 0.2.2.9002), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 2.1.1), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"SingleCellExperiment","SingleCellExperiment","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.12.0",NA,"SummarizedExperiment","methods, utils, stats, S4Vectors, BiocGenerics",NA,"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq,
Rtsne",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"sitmo","sitmo","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0.1",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.13)","Rcpp","knitr, rmarkdown, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"snow","snow","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4-3",NA,"R (>= 2.13.1), utils",NA,NA,"Rmpi,rlecuyer,nws",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"sourcetools","sourcetools","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"sp","sp","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4-5",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"SparseM","SparseM","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"sparseMatrixStats","sparseMatrixStats","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.1",NA,"MatrixGenerics","Rcpp, Matrix, matrixStats, methods","Rcpp","testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"spatial","spatial","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","7.3-14","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"spatstat","spatstat","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.64-1",NA,"R (>= 3.3.0), spatstat.data (>= 1.4-2), stats, graphics,
grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 1.17-0), mgcv, Matrix, deldir (>= 0.0-21),
abind, tensor, polyclip (>= 1.10-0), goftest (>= 1.2-2)",NA,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, RandomFields
(>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1), fftwtools (>=
0.9-8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"spatstat.core","spatstat.core","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1-2",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.0-0), stats, graphics, grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 2.1-0), spatstat.sparse (>= 2.0-0), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)",NA,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, RandomFields
(>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1), fftwtools (>=
0.9-8), spatstat.linnet (>= 2.0-0), spatstat (>= 2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"spatstat.data","spatstat.data","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1-0",NA,"R (>= 3.5.0)","spatstat.utils (>= 2.1-0), Matrix",NA,"spatstat.geom, spatstat.core, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"spatstat.geom","spatstat.geom","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1-0",NA,"R (>= 3.5.0), spatstat.data (>= 2.0), stats, graphics,
grDevices, utils, methods","spatstat.utils (>= 2.1-0), deldir (>= 0.0-21), polyclip (>=
1.10-0)",NA,"spatstat.core, spatstat.linnet, maptools (>= 0.9-9), spatial,
fftwtools (>= 0.9-8), spatstat (>= 2.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"spatstat.linnet","spatstat.linnet","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1-1",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.0-0), spatstat.core (>= 2.0-0), stats, graphics, grDevices,
methods, utils","spatstat.utils (>= 2.1-0), Matrix",NA,"goftest, locfit, spatstat (>= 2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"spatstat.sparse","spatstat.sparse","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0-0",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 2.1-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"spatstat.utils","spatstat.utils","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.1-0",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.core",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"splatter","splatter","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.14.1",NA,"R (>= 4.0), SingleCellExperiment","BiocGenerics, BiocParallel, checkmate (>= 2.0.0), edgeR,
fitdistrplus, ggplot2, locfit, matrixStats, methods, scales,
scater (>= 1.15.16), stats, SummarizedExperiment, utils,
crayon, S4Vectors, grDevices",NA,"BiocStyle, covr, cowplot, magick, knitr, limSolve, lme4,
progress, pscl, testthat, preprocessCore, rmarkdown, scDD,
scran, mfa, phenopath, BASiCS (>= 1.7.10), zinbwave, SparseDC,
BiocManager, spelling, igraph, scuttle, BiocSingular,
VariantAnnotation, Biostrings, GenomeInfoDb, GenomicRanges,
IRanges",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"splines","splines","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.0.5","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"SQUAREM","SQUAREM","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"statmod","statmod","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4.36",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"stats","stats","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.0.5","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"stats4","stats4","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.0.5","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.0.5",NA,NA,NA,NA,NA,"4.0.5"
"stringi","stringi","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.6.2",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.5"
"stringr","stringr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"SummarizedExperiment","SummarizedExperiment","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.20.0",NA,"R (>= 3.2), methods, MatrixGenerics (>= 1.1.3), GenomicRanges
(>= 1.41.5), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.15.3),
S4Vectors (>= 0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.13.1), DelayedArray (>= 0.15.10)",NA,"HDF5Array (>= 1.7.5), annotate, AnnotationDbi, hgu95av2.db,
GenomicFeatures, TxDb.Hsapiens.UCSC.hg19.knownGene, jsonlite,
rhdf5, airway, BiocStyle, knitr, rmarkdown, RUnit, testthat,
digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.5"
